Rep,TrapID,TrtCode,Treatment,Site,Crop,MD,Count,Male,CantDist,EndDate,StartDate,Comment
1,1011,B,WingPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
1,1012,D,DeltPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
1,1013,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
1,1014,E,BuckPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
1,1015,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
2,1021,B,WingPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
2,1022,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
2,1023,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
2,1024,E,BuckPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
2,1025,D,DeltPheroPpo,VistaVerde,Almond,Yes,2,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
3,1031,D,DeltPheroPpo,VistaVerde,Almond,Yes,5,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
3,1032,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
3,1033,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
3,1034,B,WingPheroPpo,VistaVerde,Almond,Yes,2,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
3,1035,E,BuckPpo,VistaVerde,Almond,Yes,1,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
4,1041,B,WingPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
4,1042,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
4,1043,E,BuckPpo,VistaVerde,Almond,Yes,1,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
4,1044,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
4,1045,D,DeltPheroPpo,VistaVerde,Almond,Yes,4,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
5,1051,E,BuckPpo,VistaVerde,Almond,Yes,1,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
5,1052,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
5,1053,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
5,1054,B,WingPheroPpo,VistaVerde,Almond,Yes,6,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
5,1055,D,DeltPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
6,1061,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
6,1062,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
6,1063,D,DeltPheroPpo,VistaVerde,Almond,Yes,2,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
6,1064,E,BuckPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
6,1065,B,WingPheroPpo,VistaVerde,Almond,Yes,3,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
7,1071,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
7,1072,D,DeltPheroPpo,VistaVerde,Almond,Yes,5,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
7,1073,E,BuckPpo,VistaVerde,Almond,Yes,2,1,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
7,1074,B,WingPheroPpo,VistaVerde,Almond,Yes,2,1,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
7,1075,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,1,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
8,1081,B,WingPheroPpo,VistaVerde,Almond,Yes,6,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
8,1082,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
8,1083,D,DeltPheroPpo,VistaVerde,Almond,Yes,2,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
8,1084,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
8,1085,E,BuckPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
1,1011,B,WingPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
1,1012,D,DeltPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
1,1013,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
1,1014,E,BuckPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
1,1015,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
2,1021,B,WingPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/31/2018,7/25/2018,
2,1022,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
2,1023,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/31/2018,7/25/2018,
2,1024,E,BuckPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
2,1025,D,DeltPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
3,1031,D,DeltPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/31/2018,7/25/2018,
3,1032,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
3,1033,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
3,1034,B,WingPheroPpo,VistaVerde,Almond,Yes,2,0,NA,7/31/2018,7/25/2018,
3,1035,E,BuckPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
4,1041,B,WingPheroPpo,VistaVerde,Almond,Yes,2,0,NA,7/31/2018,7/25/2018,
4,1042,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
4,1043,E,BuckPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
4,1044,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
4,1045,D,DeltPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
5,1051,E,BuckPpo,VistaVerde,Almond,Yes,1,1,NA,7/31/2018,7/25/2018,
5,1052,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
5,1053,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
5,1054,B,WingPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
5,1055,D,DeltPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
6,1061,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
6,1062,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
6,1063,D,DeltPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/31/2018,7/25/2018,
6,1064,E,BuckPpo,VistaVerde,Almond,Yes,0,NA,NA,7/31/2018,7/25/2018,
6,1065,B,WingPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
7,1071,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
7,1072,D,DeltPheroPpo,VistaVerde,Almond,Yes,2,0,NA,7/31/2018,7/25/2018,
7,1073,E,BuckPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
7,1074,B,WingPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/31/2018,7/25/2018,
7,1075,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
8,1081,B,WingPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/31/2018,7/25/2018,
8,1082,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
8,1083,D,DeltPheroPpo,VistaVerde,Almond,Yes,2,1,NA,7/31/2018,7/25/2018,
8,1084,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/31/2018,7/25/2018,
8,1085,E,BuckPpo,VistaVerde,Almond,Yes,0,0,NA,7/31/2018,7/25/2018,
1,1011,B,WingPheroPpo,VistaVerde,Almond,Yes,1,0,NA,8/8/2018,7/31/2018,
1,1012,D,DeltPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
1,1013,C,BuckPheroPpo,VistaVerde,Almond,Yes,4,1,NA,8/8/2018,7/31/2018,
1,1014,E,BuckPpo,VistaVerde,Almond,Yes,1,1,NA,8/8/2018,7/31/2018,
1,1015,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
2,1021,B,WingPheroPpo,VistaVerde,Almond,Yes,4,1,NA,8/8/2018,7/31/2018,
2,1022,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
2,1023,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,0,NA,8/8/2018,7/31/2018,
2,1024,E,BuckPpo,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
2,1025,D,DeltPheroPpo,VistaVerde,Almond,Yes,2,1,NA,8/8/2018,7/31/2018,
3,1031,D,DeltPheroPpo,VistaVerde,Almond,Yes,7,1,NA,8/8/2018,7/31/2018,
3,1032,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
3,1033,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
3,1034,B,WingPheroPpo,VistaVerde,Almond,Yes,4,1,NA,8/8/2018,7/31/2018,
3,1035,E,BuckPpo,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
4,1041,B,WingPheroPpo,VistaVerde,Almond,Yes,5,0,NA,8/8/2018,7/31/2018,
4,1042,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
4,1043,E,BuckPpo,VistaVerde,Almond,Yes,1,NA,NA,8/8/2018,7/31/2018,
4,1044,C,BuckPheroPpo,VistaVerde,Almond,Yes,6,2,NA,8/8/2018,7/31/2018,
4,1045,D,DeltPheroPpo,VistaVerde,Almond,Yes,4,2,NA,8/8/2018,7/31/2018,
5,1051,E,BuckPpo,VistaVerde,Almond,Yes,4,1,NA,8/8/2018,7/31/2018,
5,1052,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
5,1053,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,1,NA,8/8/2018,7/31/2018,
5,1054,B,WingPheroPpo,VistaVerde,Almond,Yes,8,0,NA,8/8/2018,7/31/2018,
5,1055,D,DeltPheroPpo,VistaVerde,Almond,Yes,4,2,NA,8/8/2018,7/31/2018,
6,1061,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
6,1062,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,1,NA,8/8/2018,7/31/2018,
6,1063,D,DeltPheroPpo,VistaVerde,Almond,Yes,11,1,NA,8/8/2018,7/31/2018,
6,1064,E,BuckPpo,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
6,1065,B,WingPheroPpo,VistaVerde,Almond,Yes,9,1,NA,8/8/2018,7/31/2018,
7,1071,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
7,1072,D,DeltPheroPpo,VistaVerde,Almond,Yes,3,2,NA,8/8/2018,7/31/2018,
7,1073,E,BuckPpo,VistaVerde,Almond,Yes,3,3,NA,8/8/2018,7/31/2018,
7,1074,B,WingPheroPpo,VistaVerde,Almond,Yes,2,0,NA,8/8/2018,7/31/2018,
7,1075,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
8,1081,B,WingPheroPpo,VistaVerde,Almond,Yes,10,2,NA,8/8/2018,7/31/2018,
8,1082,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
8,1083,D,DeltPheroPpo,VistaVerde,Almond,Yes,13,1,NA,8/8/2018,7/31/2018,
8,1084,C,BuckPheroPpo,VistaVerde,Almond,Yes,2,0,NA,8/8/2018,7/31/2018,
8,1085,E,BuckPpo,VistaVerde,Almond,Yes,0,NA,NA,8/8/2018,7/31/2018,
1,1011,B,WingPheroPpo,VistaVerde,Almond,Yes,3,0,NA,9/12/2018,8/8/2018,
1,1012,D,DeltPheroPpo,VistaVerde,Almond,Yes,2,0,NA,9/12/2018,8/8/2018,
1,1013,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,1,NA,9/12/2018,8/8/2018,
1,1014,E,BuckPpo,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
1,1015,A,WingPhero,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
2,1021,B,WingPheroPpo,VistaVerde,Almond,Yes,12,4,NA,9/12/2018,8/8/2018,
2,1022,A,WingPhero,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
2,1023,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,1,NA,9/12/2018,8/8/2018,
2,1024,E,BuckPpo,VistaVerde,Almond,Yes,3,2,NA,9/12/2018,8/8/2018,
2,1025,D,DeltPheroPpo,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
3,1031,D,DeltPheroPpo,VistaVerde,Almond,Yes,1,0,NA,9/12/2018,8/8/2018,
3,1032,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,0,NA,9/12/2018,8/8/2018,
3,1033,A,WingPhero,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
3,1034,B,WingPheroPpo,VistaVerde,Almond,Yes,13,3,NA,9/12/2018,8/8/2018,
3,1035,E,BuckPpo,VistaVerde,Almond,Yes,2,0,NA,9/12/2018,8/8/2018,
4,1041,B,WingPheroPpo,VistaVerde,Almond,Yes,8,2,NA,9/12/2018,8/8/2018,
4,1042,A,WingPhero,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
4,1043,E,BuckPpo,VistaVerde,Almond,Yes,1,0,NA,9/12/2018,8/8/2018,
4,1044,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,0,NA,9/12/2018,8/8/2018,
4,1045,D,DeltPheroPpo,VistaVerde,Almond,Yes,4,1,NA,9/12/2018,8/8/2018,
5,1051,E,BuckPpo,VistaVerde,Almond,Yes,1,0,NA,9/12/2018,8/8/2018,
5,1052,A,WingPhero,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
5,1053,C,BuckPheroPpo,VistaVerde,Almond,Yes,2,1,NA,9/12/2018,8/8/2018,
5,1054,B,WingPheroPpo,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
5,1055,D,DeltPheroPpo,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
6,1061,A,WingPhero,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
6,1062,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,0,NA,9/12/2018,8/8/2018,
6,1063,D,DeltPheroPpo,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
6,1064,E,BuckPpo,VistaVerde,Almond,Yes,1,0,NA,9/12/2018,8/8/2018,
6,1065,B,WingPheroPpo,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
7,1071,A,WingPhero,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
7,1072,D,DeltPheroPpo,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
7,1073,E,BuckPpo,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
7,1074,B,WingPheroPpo,VistaVerde,Almond,Yes,1,0,NA,9/12/2018,8/8/2018,
7,1075,C,BuckPheroPpo,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
8,1081,B,WingPheroPpo,VistaVerde,Almond,Yes,4,2,NA,9/12/2018,8/8/2018,
8,1082,A,WingPhero,VistaVerde,Almond,Yes,NA,NA,NA,9/12/2018,8/8/2018,
8,1083,D,DeltPheroPpo,VistaVerde,Almond,Yes,5,0,NA,9/12/2018,8/8/2018,
8,1084,C,BuckPheroPpo,VistaVerde,Almond,Yes,2,2,NA,9/12/2018,8/8/2018,
8,1085,E,BuckPpo,VistaVerde,Almond,Yes,1,0,NA,9/12/2018,8/8/2018,
1,1011,B,WingPheroPpo,VistaVerde,Almond,Yes,35,NA,NA,9/18/2018,9/12/2018,
1,1012,D,DeltPheroPpo,VistaVerde,Almond,Yes,11,NA,NA,9/18/2018,9/12/2018,
1,1013,C,BuckPheroPpo,VistaVerde,Almond,Yes,8,NA,NA,9/18/2018,9/12/2018,
1,1014,E,BuckPpo,VistaVerde,Almond,Yes,3,NA,NA,9/18/2018,9/12/2018,
1,1015,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,9/18/2018,9/12/2018,
2,1021,B,WingPheroPpo,VistaVerde,Almond,Yes,50,NA,NA,9/18/2018,9/12/2018,
2,1022,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,9/18/2018,9/12/2018,
2,1023,C,BuckPheroPpo,VistaVerde,Almond,Yes,9,NA,NA,9/18/2018,9/12/2018,
2,1024,E,BuckPpo,VistaVerde,Almond,Yes,3,NA,NA,9/18/2018,9/12/2018,
2,1025,D,DeltPheroPpo,VistaVerde,Almond,Yes,17,NA,NA,9/18/2018,9/12/2018,
3,1031,D,DeltPheroPpo,VistaVerde,Almond,Yes,13,NA,NA,9/18/2018,9/12/2018,
3,1032,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,9/18/2018,9/12/2018,
3,1033,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,9/18/2018,9/12/2018,
3,1034,B,WingPheroPpo,VistaVerde,Almond,Yes,27,NA,NA,9/18/2018,9/12/2018,
3,1035,E,BuckPpo,VistaVerde,Almond,Yes,1,NA,NA,9/18/2018,9/12/2018,
4,1041,B,WingPheroPpo,VistaVerde,Almond,Yes,51,NA,NA,9/18/2018,9/12/2018,
4,1042,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,9/18/2018,9/12/2018,
4,1043,E,BuckPpo,VistaVerde,Almond,Yes,4,NA,NA,9/18/2018,9/12/2018,
4,1044,C,BuckPheroPpo,VistaVerde,Almond,Yes,9,NA,NA,9/18/2018,9/12/2018,
4,1045,D,DeltPheroPpo,VistaVerde,Almond,Yes,22,NA,NA,9/18/2018,9/12/2018,
5,1051,E,BuckPpo,VistaVerde,Almond,Yes,9,NA,NA,9/18/2018,9/12/2018,
5,1052,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,9/18/2018,9/12/2018,
5,1053,C,BuckPheroPpo,VistaVerde,Almond,Yes,9,NA,NA,9/18/2018,9/12/2018,
5,1054,B,WingPheroPpo,VistaVerde,Almond,Yes,20,NA,NA,9/18/2018,9/12/2018,
5,1055,D,DeltPheroPpo,VistaVerde,Almond,Yes,15,NA,NA,9/18/2018,9/12/2018,
6,1061,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,9/18/2018,9/12/2018,
6,1062,C,BuckPheroPpo,VistaVerde,Almond,Yes,8,NA,NA,9/18/2018,9/12/2018,
6,1063,D,DeltPheroPpo,VistaVerde,Almond,Yes,28,NA,NA,9/18/2018,9/12/2018,
6,1064,E,BuckPpo,VistaVerde,Almond,Yes,1,NA,NA,9/18/2018,9/12/2018,
6,1065,B,WingPheroPpo,VistaVerde,Almond,Yes,27,NA,NA,9/18/2018,9/12/2018,
7,1071,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,9/18/2018,9/12/2018,
7,1072,D,DeltPheroPpo,VistaVerde,Almond,Yes,21,NA,NA,9/18/2018,9/12/2018,
7,1073,E,BuckPpo,VistaVerde,Almond,Yes,3,NA,NA,9/18/2018,9/12/2018,
7,1074,B,WingPheroPpo,VistaVerde,Almond,Yes,25,NA,NA,9/18/2018,9/12/2018,
7,1075,C,BuckPheroPpo,VistaVerde,Almond,Yes,6,NA,NA,9/18/2018,9/12/2018,
8,1081,B,WingPheroPpo,VistaVerde,Almond,Yes,40,NA,NA,9/18/2018,9/12/2018,
8,1082,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,9/18/2018,9/12/2018,
8,1083,D,DeltPheroPpo,VistaVerde,Almond,Yes,8,NA,NA,9/18/2018,9/12/2018,
8,1084,C,BuckPheroPpo,VistaVerde,Almond,Yes,3,NA,NA,9/18/2018,9/12/2018,
8,1085,E,BuckPpo,VistaVerde,Almond,Yes,3,NA,NA,9/18/2018,9/12/2018,
1,1011,B,WingPheroPpo,VistaVerde,Almond,Yes,108,6,NA,9/28/2018,9/18/2018,
1,1012,D,DeltPheroPpo,VistaVerde,Almond,Yes,31,0,NA,9/28/2018,9/18/2018,
1,1013,C,BuckPheroPpo,VistaVerde,Almond,Yes,43,16,NA,9/28/2018,9/18/2018,
1,1014,E,BuckPpo,VistaVerde,Almond,Yes,18,4,NA,9/28/2018,9/18/2018,
1,1015,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,9/28/2018,9/18/2018,
2,1021,B,WingPheroPpo,VistaVerde,Almond,Yes,100,6,NA,9/28/2018,9/18/2018,
2,1022,A,WingPhero,VistaVerde,Almond,Yes,1,0,NA,9/28/2018,9/18/2018,
2,1023,C,BuckPheroPpo,VistaVerde,Almond,Yes,27,4,NA,9/28/2018,9/18/2018,
2,1024,E,BuckPpo,VistaVerde,Almond,Yes,26,7,NA,9/28/2018,9/18/2018,
2,1025,D,DeltPheroPpo,VistaVerde,Almond,Yes,68,5,NA,9/28/2018,9/18/2018,
3,1031,D,DeltPheroPpo,VistaVerde,Almond,Yes,55,8,NA,9/28/2018,9/18/2018,
3,1032,C,BuckPheroPpo,VistaVerde,Almond,Yes,32,6,NA,9/28/2018,9/18/2018,
3,1033,A,WingPhero,VistaVerde,Almond,Yes,2,2,NA,9/28/2018,9/18/2018,
3,1034,B,WingPheroPpo,VistaVerde,Almond,Yes,101,28,NA,9/28/2018,9/18/2018,
3,1035,E,BuckPpo,VistaVerde,Almond,Yes,13,4,NA,9/28/2018,9/18/2018,
4,1041,B,WingPheroPpo,VistaVerde,Almond,Yes,124,19,NA,9/28/2018,9/18/2018,
4,1042,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,9/28/2018,9/18/2018,
4,1043,E,BuckPpo,VistaVerde,Almond,Yes,18,18,NA,9/28/2018,9/18/2018,
4,1044,C,BuckPheroPpo,VistaVerde,Almond,Yes,36,6,NA,9/28/2018,9/18/2018,
4,1045,D,DeltPheroPpo,VistaVerde,Almond,Yes,70,17,NA,9/28/2018,9/18/2018,
5,1051,E,BuckPpo,VistaVerde,Almond,Yes,94,27,NA,9/28/2018,9/18/2018,
5,1052,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,9/28/2018,9/18/2018,
5,1053,C,BuckPheroPpo,VistaVerde,Almond,Yes,43,16,NA,9/28/2018,9/18/2018,
5,1054,B,WingPheroPpo,VistaVerde,Almond,Yes,NA,NA,NA,9/28/2018,9/18/2018,
5,1055,D,DeltPheroPpo,VistaVerde,Almond,Yes,48,16,NA,9/28/2018,9/18/2018,
6,1061,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,9/28/2018,9/18/2018,
6,1062,C,BuckPheroPpo,VistaVerde,Almond,Yes,52,22,NA,9/28/2018,9/18/2018,
6,1063,D,DeltPheroPpo,VistaVerde,Almond,Yes,56,19,NA,9/28/2018,9/18/2018,
6,1064,E,BuckPpo,VistaVerde,Almond,Yes,2,1,NA,9/28/2018,9/18/2018,
6,1065,B,WingPheroPpo,VistaVerde,Almond,Yes,119,34,NA,9/28/2018,9/18/2018,
7,1071,A,WingPhero,VistaVerde,Almond,Yes,0,0,NA,9/28/2018,9/18/2018,
7,1072,D,DeltPheroPpo,VistaVerde,Almond,Yes,58,3,NA,9/28/2018,9/18/2018,
7,1073,E,BuckPpo,VistaVerde,Almond,Yes,45,19,NA,9/28/2018,9/18/2018,
7,1074,B,WingPheroPpo,VistaVerde,Almond,Yes,116,7,NA,9/28/2018,9/18/2018,
7,1075,C,BuckPheroPpo,VistaVerde,Almond,Yes,36,9,NA,9/28/2018,9/18/2018,
8,1081,B,WingPheroPpo,VistaVerde,Almond,Yes,119,5,NA,9/28/2018,9/18/2018,
8,1082,A,WingPhero,VistaVerde,Almond,Yes,1,1,NA,9/28/2018,9/18/2018,
8,1083,D,DeltPheroPpo,VistaVerde,Almond,Yes,63,4,NA,9/28/2018,9/18/2018,
8,1084,C,BuckPheroPpo,VistaVerde,Almond,Yes,73,24,NA,9/28/2018,9/18/2018,
8,1085,E,BuckPpo,VistaVerde,Almond,Yes,48,21,NA,9/28/2018,9/18/2018,
