"Treatment","Crop","MD","Trap","Date","total_now","males","prop_males","attractant","phero_lure"
"Ppo","Alm","No",315,2017-06-28,57,38,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","No",315,2017-07-06,49,38,0.775510204081633,"PPO","No pheromone lure"
"Ppo","Alm","No",315,2017-07-11,18,13,0.722222222222222,"PPO","No pheromone lure"
"Ppo","Alm","No",315,2017-07-20,15,14,0.933333333333333,"PPO","No pheromone lure"
"Ppo","Alm","No",315,2017-08-01,18,14,0.777777777777778,"PPO","No pheromone lure"
"Ppo","Alm","No",315,2017-08-08,16,13,0.8125,"PPO","No pheromone lure"
"Ppo","Alm","No",315,2017-08-23,14,12,0.857142857142857,"PPO","No pheromone lure"
"Ppo","Alm","No",322,2017-06-15,12,10,0.833333333333333,"PPO","No pheromone lure"
"Ppo","Alm","No",322,2017-06-28,38,34,0.894736842105263,"PPO","No pheromone lure"
"Ppo","Alm","No",322,2017-07-06,62,53,0.854838709677419,"PPO","No pheromone lure"
"Ppo","Alm","No",322,2017-07-11,11,7,0.636363636363636,"PPO","No pheromone lure"
"Ppo","Alm","No",322,2017-07-20,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Alm","No",322,2017-07-27,12,11,0.916666666666667,"PPO","No pheromone lure"
"Ppo","Alm","No",322,2017-08-01,16,13,0.8125,"PPO","No pheromone lure"
"Ppo","Alm","No",322,2017-08-08,19,16,0.842105263157895,"PPO","No pheromone lure"
"Ppo","Alm","No",322,2017-08-23,16,12,0.75,"PPO","No pheromone lure"
"Ppo","Alm","No",333,2017-06-28,34,27,0.794117647058823,"PPO","No pheromone lure"
"Ppo","Alm","No",333,2017-07-06,52,40,0.769230769230769,"PPO","No pheromone lure"
"Ppo","Alm","No",333,2017-07-11,13,12,0.923076923076923,"PPO","No pheromone lure"
"Ppo","Alm","No",333,2017-07-20,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Alm","No",333,2017-08-01,15,13,0.866666666666667,"PPO","No pheromone lure"
"Ppo","Alm","No",333,2017-08-08,22,18,0.818181818181818,"PPO","No pheromone lure"
"Ppo","Alm","No",333,2017-08-23,32,21,0.65625,"PPO","No pheromone lure"
"Ppo","Alm","No",345,2017-06-28,74,62,0.837837837837838,"PPO","No pheromone lure"
"Ppo","Alm","No",345,2017-07-06,65,57,0.876923076923077,"PPO","No pheromone lure"
"Ppo","Alm","No",345,2017-07-11,23,19,0.826086956521739,"PPO","No pheromone lure"
"Ppo","Alm","No",345,2017-07-20,16,13,0.8125,"PPO","No pheromone lure"
"Ppo","Alm","No",345,2017-08-01,13,11,0.846153846153846,"PPO","No pheromone lure"
"Ppo","Alm","No",345,2017-08-08,13,11,0.846153846153846,"PPO","No pheromone lure"
"Ppo","Alm","No",345,2017-08-23,34,31,0.911764705882353,"PPO","No pheromone lure"
"Ppo","Alm","No",351,2017-06-15,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Alm","No",351,2017-06-28,59,44,0.745762711864407,"PPO","No pheromone lure"
"Ppo","Alm","No",351,2017-07-06,45,39,0.866666666666667,"PPO","No pheromone lure"
"Ppo","Alm","No",351,2017-07-11,11,10,0.909090909090909,"PPO","No pheromone lure"
"Ppo","Alm","No",351,2017-07-20,12,12,1,"PPO","No pheromone lure"
"Ppo","Alm","No",351,2017-07-27,15,13,0.866666666666667,"PPO","No pheromone lure"
"Ppo","Alm","No",351,2017-08-01,16,15,0.9375,"PPO","No pheromone lure"
"Ppo","Alm","No",351,2017-08-08,18,13,0.722222222222222,"PPO","No pheromone lure"
"Ppo","Alm","No",351,2017-08-23,49,46,0.938775510204082,"PPO","No pheromone lure"
"Ppo","Alm","No",362,2017-06-15,3,3,1,"PPO","No pheromone lure"
"Ppo","Alm","No",362,2017-06-22,15,14,0.933333333333333,"PPO","No pheromone lure"
"Ppo","Alm","No",362,2017-07-20,14,12,0.857142857142857,"PPO","No pheromone lure"
"Ppo","Alm","No",362,2017-07-27,13,9,0.692307692307692,"PPO","No pheromone lure"
"Ppo","Alm","No",362,2017-08-01,20,18,0.9,"PPO","No pheromone lure"
"Ppo","Alm","No",362,2017-08-08,21,16,0.761904761904762,"PPO","No pheromone lure"
"Ppo","Alm","No",375,2017-06-15,6,6,1,"PPO","No pheromone lure"
"Ppo","Alm","No",375,2017-06-22,35,27,0.771428571428571,"PPO","No pheromone lure"
"Ppo","Alm","No",375,2017-06-28,60,49,0.816666666666667,"PPO","No pheromone lure"
"Ppo","Alm","No",375,2017-07-06,72,58,0.805555555555556,"PPO","No pheromone lure"
"Ppo","Alm","No",375,2017-07-11,14,12,0.857142857142857,"PPO","No pheromone lure"
"Ppo","Alm","No",375,2017-07-20,14,10,0.714285714285714,"PPO","No pheromone lure"
"Ppo","Alm","No",375,2017-07-27,16,14,0.875,"PPO","No pheromone lure"
"Ppo","Alm","No",375,2017-08-01,16,14,0.875,"PPO","No pheromone lure"
"Ppo","Alm","No",375,2017-08-08,22,12,0.545454545454545,"PPO","No pheromone lure"
"Ppo","Alm","No",375,2017-08-23,43,38,0.883720930232558,"PPO","No pheromone lure"
"Ppo","Alm","No",382,2017-06-22,17,14,0.823529411764706,"PPO","No pheromone lure"
"Ppo","Alm","No",382,2017-06-28,17,14,0.823529411764706,"PPO","No pheromone lure"
"Ppo","Alm","No",382,2017-07-06,33,25,0.757575757575758,"PPO","No pheromone lure"
"Ppo","Alm","No",382,2017-07-11,11,10,0.909090909090909,"PPO","No pheromone lure"
"Ppo","Alm","No",382,2017-08-01,7,6,0.857142857142857,"PPO","No pheromone lure"
"Ppo","Alm","No",382,2017-08-08,16,11,0.6875,"PPO","No pheromone lure"
"Ppo","Alm","No",382,2017-08-23,17,15,0.882352941176471,"PPO","No pheromone lure"
"Ppo","Alm","Yes",114,2017-06-15,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",114,2017-06-23,9,9,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",114,2017-06-29,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",114,2017-07-05,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Alm","Yes",114,2017-07-14,2,2,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",114,2017-07-18,3,1,0.333333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",114,2017-08-09,10,7,0.7,"PPO","No pheromone lure"
"Ppo","Alm","Yes",114,2017-08-15,13,9,0.692307692307692,"PPO","No pheromone lure"
"Ppo","Alm","Yes",114,2017-09-07,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-06-15,2,0,0,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-06-23,7,5,0.714285714285714,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-06-29,16,11,0.6875,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-07-05,10,9,0.9,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-07-14,6,2,0.333333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-07-18,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-08-09,12,8,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-08-15,31,28,0.903225806451613,"PPO","No pheromone lure"
"Ppo","Alm","Yes",125,2017-09-07,9,6,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-06-15,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-06-23,15,11,0.733333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-06-29,9,6,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-07-05,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-07-14,3,0,0,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-07-18,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-08-09,13,9,0.692307692307692,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-08-15,48,37,0.770833333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",135,2017-09-07,14,12,0.857142857142857,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-06-15,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-06-29,11,6,0.545454545454545,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-07-05,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-07-14,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-07-18,5,3,0.6,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-08-09,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-08-15,12,9,0.75,"PPO","No pheromone lure"
"Ppo","Alm","Yes",143,2017-09-07,6,5,0.833333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-06-15,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-06-23,3,1,0.333333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-07-05,2,2,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-07-14,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-07-18,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-08-02,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-08-09,4,2,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-08-15,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Alm","Yes",155,2017-09-07,6,5,0.833333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-06-15,1,1,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-06-23,15,11,0.733333333333333,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-06-29,13,9,0.692307692307692,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-08-09,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-08-15,16,11,0.6875,"PPO","No pheromone lure"
"Ppo","Alm","Yes",162,2017-09-07,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-06-15,4,1,0.25,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-06-23,7,5,0.714285714285714,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-06-29,11,5,0.454545454545455,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-07-05,9,8,0.888888888888889,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-07-14,2,2,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-07-18,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-08-09,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-08-15,9,5,0.555555555555556,"PPO","No pheromone lure"
"Ppo","Alm","Yes",174,2017-09-07,6,3,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-06-15,1,1,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-06-23,5,3,0.6,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-06-29,7,5,0.714285714285714,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-07-05,2,2,1,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-07-14,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-08-15,7,4,0.571428571428571,"PPO","No pheromone lure"
"Ppo","Alm","Yes",182,2017-09-07,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-06-15,1,0,0,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-06-22,8,7,0.875,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-06-28,13,12,0.923076923076923,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-07-06,11,9,0.818181818181818,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-07-12,15,11,0.733333333333333,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-07-20,3,3,1,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-08-01,4,2,0.5,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-08-17,11,7,0.636363636363636,"PPO","No pheromone lure"
"Ppo","Pis","No",413,2017-08-24,20,14,0.7,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-06-15,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-06-22,8,8,1,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-06-28,15,14,0.933333333333333,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-07-06,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-07-12,10,8,0.8,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-07-20,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-08-01,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-08-17,9,7,0.777777777777778,"PPO","No pheromone lure"
"Ppo","Pis","No",423,2017-08-24,26,17,0.653846153846154,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-06-15,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-06-28,17,13,0.764705882352941,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-07-06,6,5,0.833333333333333,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-07-12,18,14,0.777777777777778,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-07-20,5,5,1,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-08-01,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-08-17,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Pis","No",431,2017-08-24,12,9,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-06-15,11,9,0.818181818181818,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-06-28,5,5,1,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-07-06,19,14,0.736842105263158,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-07-12,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-07-20,12,9,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-08-01,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-08-17,10,9,0.9,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-08-24,19,11,0.578947368421053,"PPO","No pheromone lure"
"Ppo","Pis","No",452,2017-06-15,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","No",452,2017-07-20,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Pis","No",452,2017-07-27,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","No",452,2017-08-17,7,4,0.571428571428571,"PPO","No pheromone lure"
"Ppo","Pis","No",452,2017-08-24,16,14,0.875,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-06-15,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-06-22,9,8,0.888888888888889,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-06-28,12,12,1,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-07-06,6,5,0.833333333333333,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-07-12,10,6,0.6,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-07-20,8,7,0.875,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-08-01,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-08-17,10,7,0.7,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-08-24,18,15,0.833333333333333,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-06-15,9,9,1,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-06-22,23,19,0.826086956521739,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-06-28,16,14,0.875,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-07-06,29,22,0.758620689655172,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-07-12,20,15,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-07-20,11,9,0.818181818181818,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-07-27,11,8,0.727272727272727,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-08-01,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-08-17,15,12,0.8,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-08-24,17,12,0.705882352941177,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-06-15,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-06-22,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-07-20,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-07-27,4,4,1,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-08-01,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-08-17,7,5,0.714285714285714,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-08-24,12,9,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-06-23,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-06-29,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-07-05,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-07-14,7,4,0.571428571428571,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-07-18,1,0,0,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-08-02,1,0,0,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-08-09,6,2,0.333333333333333,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-08-15,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-09-05,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-06-23,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-06-29,6,6,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-07-05,10,7,0.7,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-07-14,9,8,0.888888888888889,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-07-18,8,6,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-08-02,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-08-09,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-08-15,12,9,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-09-05,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-06-29,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-07-05,9,6,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-07-14,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-07-18,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-08-02,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-08-09,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-08-15,10,7,0.7,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-09-05,1,0,0,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-06-23,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-07-05,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-07-14,5,1,0.2,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-07-18,1,0,0,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-08-09,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-08-15,10,4,0.4,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-09-05,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-06-23,3,3,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-06-29,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-07-05,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-07-14,11,7,0.636363636363636,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-07-18,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-08-09,5,3,0.6,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-08-15,14,10,0.714285714285714,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-09-05,4,2,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-06-15,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-06-29,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-07-05,6,3,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-07-14,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-07-18,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-08-09,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-08-15,12,8,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-09-05,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-06-23,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-06-29,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-07-05,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-07-14,9,7,0.777777777777778,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-07-18,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-08-09,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-08-15,4,2,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-06-23,5,3,0.6,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-07-05,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-07-14,23,16,0.695652173913043,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-07-18,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-08-02,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-08-09,21,12,0.571428571428571,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-08-15,13,8,0.615384615384615,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-09-05,4,3,0.75,"PPO","No pheromone lure"
